lat,lon,population,original_population,renewable_cost,storage_cost,electrical_storage_cost,thermal_storage_cost,lng_cost,other_equipment_cost,discard_cost,load_shedding_cost,renewable_cost_per_capita,storage_cost_per_capita,electrical_storage_cost_per_capita,thermal_storage_cost_per_capita,lng_cost_per_capita,other_equipment_cost_per_capita,discard_cost_per_capita,load_shedding_cost_per_capita,renewable_investment,renewable_om,storage_investment,storage_om,electrical_storage_investment,electrical_storage_om,thermal_storage_investment,thermal_storage_om,other_investment,other_om,lng_investment,lng_om,lng_purchase,IPCC_Region_Name,IPCC_Region_Code,Continent
-0.030217,103.626017,235,235,89968.4845446366,31501.26695794618,11486.506551742272,20014.76040620391,0.0,2284.7477950911566,17.922485455423107,0.0,382.84461508356,134.04794450189863,48.87875128400967,85.16919321788897,0.0,9.722331042941091,0.07626589555499194,0.0,57819.55759826706,32148.92694636953,22795.966056646495,8705.300901299684,7389.2479361753885,4097.258615566883,15406.718120471109,4608.0422857328,1828.9040545969324,455.84374049422433,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.035119,103.659208,59,59,24926.298090279477,4312.724074224768,375.99988953636705,3936.724184688401,0.09779789265575131,520.8302318963234,0.172671654172903,0.0,422.4796286488047,73.09701820719945,6.372879483667238,66.72413872353222,0.0016575914009449375,8.827631049090227,0.00292663820632039,0.0,15591.134329539014,9335.163760740463,3289.043337340659,1023.680736884109,258.67981559020427,117.32007394616275,3030.3635217504548,906.3606629379462,416.1360089424214,104.694222953902,0.0071324126935458,0.0017777125447353999,0.0888877674174701,S.E.Asia,SEA,ASIA
-0.045282,130.124424,218,218,90738.44161462755,19030.659300140902,1115.2348939500685,17915.424406190832,0.0,1974.397965187114,4.652862268489992,0.0,416.23138355333737,87.29660229422431,5.115756394266369,82.18084589995794,0.0,9.05687139994089,0.02134340490133024,0.0,56964.13250031486,33774.30911431268,14537.477873289163,4493.18142685174,746.7610106863848,368.4738832636838,13790.716862602778,4124.707543588056,1580.4739812757211,393.923983911393,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.061393,98.276855,500,3977,214339.69730590028,42220.49329944879,238.4569540996044,41982.03634534919,0.0,4984.430535331177,0.6130917016423315,0.0,428.67939461180055,84.44098659889758,0.47691390819920876,83.96407269069837,0.0,9.968861070662355,0.001226183403284663,0.0,135243.03732898535,79096.65997691492,32478.44597041595,9742.047329032837,162.02613979535266,76.43081430425173,32316.419830620598,9665.616514728586,3989.9568939337732,994.4736413974041,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.074667,98.326246,500,556,214130.22617354375,42600.497910189115,537.8866533430703,42062.611256846045,0.0,4985.469635302463,1.5199367981531302,0.0,428.2604523470875,85.20099582037822,1.0757733066861406,84.1252225136921,0.0,9.970939270604926,0.0030398735963062602,0.0,135136.32985794762,78993.89631559612,32747.071268577125,9853.426641611992,368.6274654572486,169.25918788582172,32378.443803119877,9684.16745372617,3990.788676817294,994.6809584851694,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.100428,129.466226,500,2067,210742.31257309113,41348.01494190427,71.87534191453562,41276.139599989736,0.0,4579.748769742448,0.1798059810413681,0.0,421.4846251461823,82.69602988380855,0.14375068382907125,82.55227919997947,0.0,9.159497539484896,0.0003596119620827362,0.0,132185.97152150032,78556.34105159082,31820.483381904483,9527.531559999788,47.44013722292855,24.435204691607076,31773.043244681554,9503.096355308182,3666.0156153835323,913.7331543589154,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.100626,103.536773,500,6890,96472.32045815077,34793.48798492229,32041.56579580859,2751.9221891137013,147862.06521261242,47042.88713485164,1764.1997953719513,0.9499250000061464,192.94464091630155,69.58697596984459,64.08313159161717,5.503844378227402,295.7241304252248,94.08577426970328,3.5283995907439025,0.001899850000012293,62122.1961554108,34350.124302739976,21928.704600767585,12864.783384154707,19810.363506661728,12231.202289146862,2118.3410941058573,633.5810950078439,32856.23614852032,14186.65098633132,7262.0383731621905,1810.020994438883,138790.00584501136,S.E.Asia,SEA,ASIA
-0.107722,127.241703,167,167,70208.25085471329,14485.686442438033,487.6475726121752,13998.038869825858,0.0,1563.0131004564932,2.059220698147507,0.0,420.4086877527742,86.74063737986846,2.920045344983085,83.82059203488538,0.0,9.359359882973013,0.012330662863158726,0.0,44138.05194286739,26070.198911845902,11105.26126982992,3380.4251726081125,330.0216601688249,157.62591244335033,10775.239609661096,3222.799260164762,1251.1669791102481,311.84612134624507,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.128063,109.15734,131,131,52935.23622273461,9809.777185487754,1202.7991282382336,8606.97805724952,0.0,1084.3996586718292,13.159900736176748,0.0,404.0857726926306,74.88379530906683,9.181672734643005,65.70212257442381,0.0,8.277859989861291,0.10045725752806678,0.0,33061.88523830914,19873.350984425466,7438.363727376977,2371.413458110776,812.9891485226547,389.80997971557883,6625.374578854323,1981.603478395197,868.044576652851,216.35508201897818,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.158715,98.450703,500,3518,213281.4053321203,43912.80590263294,1647.2459607108772,42265.55994192207,0.0,4988.716291466921,6.426951551073171,0.0,426.5628106642406,87.82561180526588,3.2944919214217543,84.53111988384413,0.0,9.977432582933842,0.012853903102146342,0.0,134702.87893412416,78578.52639799615,33657.15832811152,10255.64757452142,1122.491161812276,524.7547988986012,32534.66716629925,9730.892775622819,3993.3875731494463,995.3287183174741,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.169313,121.614101,500,1679,214308.2698794222,44949.53701365923,0.6989313917409169,44948.83808226749,0.0,4947.770703656681,0.0010037985016811,0.0001792507285339,428.6165397588444,89.89907402731846,0.0013978627834818338,89.89767616453497,0.0,9.895541407313361,2.0075970033622e-06,3.585014570678e-07,135086.2041018192,79222.06577760303,34600.62337697678,10348.913636682448,0.4550950953736064,0.24383629636731052,34600.16828188141,10348.66980038608,3960.61128522616,987.1594184305211,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.171555,104.655528,500,35941,98551.94332456547,32340.90101240306,29811.41169382339,2529.4893185796723,147817.75791011212,49151.00466733445,1715.3170911041204,0.1499849999930802,197.10388664913094,64.68180202480612,59.622823387646775,5.058978637159345,295.63551582022427,98.3020093346689,3.430634182208241,0.0002999699999861604,63537.19916777084,35014.74415679462,20376.008826848083,11964.892185554978,18428.88939453053,11382.522299292857,1947.1194323175512,582.3698862621211,34329.07596159543,14821.928705739014,7255.210550699879,1808.319199244746,138754.2281601675,S.E.Asia,SEA,ASIA
