island_id,lat,lon,Country,_match_country_name,_match_country_code,_match_score,scenario,population_raw,population_calc,income_per_capita_2020,consumption_pc_kwh,billed_kwh,tariff_breakeven,tariff_affordable,viability_gap
3007,-54.054777,-68.677673,Argentina; Chile,Argentina,ARG,100,output_future_2050,167448.0,500.0,9040.0,2629.59,1311202.5,0.4658347565400221,0.34377982879460295,0.12205492774541915
4660,-50.615007,-75.314895,Chile,Chile,CHL,100,output_0,55.0,55.0,12960.0,2629.5899999999997,144627.44999999998,0.2633495386195345,0.4928524979179264,-0.22950295929839193
4660,-50.615007,-75.314895,Chile,Chile,CHL,100,output_2020,55.0,55.0,12960.0,2629.5899999999997,144627.44999999998,0.5438569270417853,0.4928524979179264,0.05100442912385894
4660,-50.615007,-75.314895,Chile,Chile,CHL,100,output_2050,55.0,55.0,12960.0,2629.5899999999997,144232.275,0.5736412234485141,0.4928524979179264,0.08078872553058769
4660,-50.615007,-75.314895,Chile,Chile,CHL,100,output_future_2030,55.0,55.0,12960.0,2629.5899999999997,144232.275,0.560911374165053,0.4928524979179264,0.06805887624712659
4660,-50.615007,-75.314895,Chile,Chile,CHL,100,output_future_2040,55.0,55.0,12960.0,2629.5899999999997,144232.275,0.5527788677450971,0.4928524979179264,0.0599263698271707
4660,-50.615007,-75.314895,Chile,Chile,CHL,100,output_future_2050,55.0,55.0,12960.0,2629.5899999999997,144232.275,0.5451746155993634,0.4928524979179264,0.05232211768143702
4703,-50.390018,-75.353661,Chile,Chile,CHL,100,output_0,84.0,84.0,12960.0,2629.59,220885.56,0.2602196153487444,0.49285249791792635,-0.23263288256918196
4703,-50.390018,-75.353661,Chile,Chile,CHL,100,output_2020,84.0,84.0,12960.0,2629.59,220885.56,0.6085077436469014,0.49285249791792635,0.11565524572897506
4703,-50.390018,-75.353661,Chile,Chile,CHL,100,output_2050,84.0,84.0,12960.0,2629.59,220282.02000000002,0.34422978187337555,0.49285249791792635,-0.1486227160445508
4703,-50.390018,-75.353661,Chile,Chile,CHL,100,output_future_2030,84.0,84.0,12960.0,2629.59,220282.02000000002,0.32925404394518515,0.49285249791792635,-0.1635984539727412
4703,-50.390018,-75.353661,Chile,Chile,CHL,100,output_future_2040,84.0,84.0,12960.0,2629.59,220282.02000000002,0.3300733375094687,0.49285249791792635,-0.16277916040845763
4703,-50.390018,-75.353661,Chile,Chile,CHL,100,output_future_2050,84.0,84.0,12960.0,2629.59,220282.02000000002,0.32582964287162963,0.49285249791792635,-0.16702285504629671
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_0,305.0,305.0,12960.0,2629.5899999999997,802024.95,0.2786837219503083,0.4928524979179264,-0.21416877596761807
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_2020,305.0,305.0,12960.0,2629.5899999999997,802024.95,0.3637944984845397,0.4928524979179264,-0.1290579994333867
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_2050,305.0,305.0,12960.0,2629.5899999999997,799833.5249999999,0.3648631264095924,0.4928524979179264,-0.127989371508334
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_future_2030,305.0,305.0,12960.0,2629.5899999999997,799833.5249999999,0.3612379614216545,0.4928524979179264,-0.13161453649627192
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_future_2040,305.0,305.0,12960.0,2629.5899999999997,799833.5249999999,0.36229248794056174,0.4928524979179264,-0.13056000997736467
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_future_2050,305.0,305.0,12960.0,2629.5899999999997,799833.5249999999,0.3533772473496718,0.4928524979179264,-0.1394752505682546
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_0,80.0,80.0,12960.0,2629.5899999999997,210367.19999999998,0.2700114857338311,0.4928524979179264,-0.2228410121840953
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_2020,80.0,80.0,12960.0,2629.5899999999997,210367.19999999998,0.7088948378067969,0.4928524979179264,0.21604233988887045
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_2050,80.0,80.0,12960.0,2629.5899999999997,209792.4,0.6841303191814753,0.4928524979179264,0.19127782126354886
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_future_2030,80.0,80.0,12960.0,2629.5899999999997,209792.4,0.33491737476976774,0.4928524979179264,-0.15793512314815866
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_future_2040,80.0,80.0,12960.0,2629.5899999999997,209792.4,0.6513817531109404,0.4928524979179264,0.15852925519301397
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_future_2050,80.0,80.0,12960.0,2629.5899999999997,209792.4,0.3270263830227243,0.4928524979179264,-0.1658261148952021
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_0,88.0,88.0,12960.0,2629.5900000000006,231403.92000000004,0.7791481390779728,0.49285249791792624,0.2862956411600465
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_2020,88.0,88.0,12960.0,2629.5900000000006,231403.92000000004,0.7791481390779728,0.49285249791792624,0.2862956411600465
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_2050,88.0,88.0,12960.0,2629.5900000000006,230771.64000000004,0.7812828891946255,0.49285249791792624,0.2884303912766993
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_future_2030,88.0,88.0,12960.0,2629.5900000000006,230771.64000000004,0.7796131167889511,0.49285249791792624,0.28676061887102483
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_future_2040,88.0,88.0,12960.0,2629.5900000000006,230771.64000000004,0.7787846133602385,0.49285249791792624,0.2859321154423123
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_future_2050,88.0,88.0,12960.0,2629.5900000000006,230771.64000000004,0.7777782890680309,0.49285249791792624,0.2849257911501047
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_0,197.0,197.0,12960.0,2659.6499999999996,523951.04999999993,0.2821170119525081,0.4872821611866224,-0.20516514923411427
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_2020,197.0,197.0,12960.0,2659.6499999999996,523951.04999999993,0.28211701195236555,0.4872821611866224,-0.20516514923425683
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_2050,197.0,197.0,12960.0,2659.6499999999996,516613.7849999999,0.28470856269761996,0.4872821611866224,-0.20257359848900242
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_future_2030,197.0,197.0,12960.0,2659.6499999999996,516613.7849999999,0.281279315018181,0.4872821611866224,-0.2060028461684414
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_future_2040,197.0,197.0,12960.0,2659.6499999999996,516613.7849999999,0.2804691376929436,0.4872821611866224,-0.20681302349367875
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_future_2050,197.0,197.0,12960.0,2659.6499999999996,516613.7849999999,0.2796748257102374,0.4872821611866224,-0.207607335476385
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_0,82.0,82.0,12960.0,2659.65,218091.30000000002,0.23430687917487134,0.48728216118662226,-0.2529752820117509
