lat,lon,population,original_population,renewable_cost,storage_cost,electrical_storage_cost,thermal_storage_cost,lng_cost,other_equipment_cost,discard_cost,load_shedding_cost,renewable_cost_per_capita,storage_cost_per_capita,electrical_storage_cost_per_capita,thermal_storage_cost_per_capita,lng_cost_per_capita,other_equipment_cost_per_capita,discard_cost_per_capita,load_shedding_cost_per_capita,renewable_investment,renewable_om,storage_investment,storage_om,electrical_storage_investment,electrical_storage_om,thermal_storage_investment,thermal_storage_om,other_investment,other_om,lng_investment,lng_om,lng_purchase,IPCC_Region_Name,IPCC_Region_Code,Continent
-0.169313,121.614101,500,1679,214308.9969176741,44948.838082381146,0.0,44948.838082381146,0.0,4947.7450997406995,0.0,0.0,428.6179938353482,89.89767616476229,0.0,89.89767616476229,0.0,9.895490199481399,0.0,0.0,135086.55768297758,79222.43923469653,34600.1682819689,10348.669800412248,0.0,0.0,34600.1682819689,10348.669800412248,3960.590789701073,987.1543100396268,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.171555,104.655528,500,35941,98802.9115701721,16360.390555448852,7151.05825602026,9209.332299428592,150441.37175335447,71105.16821840283,2871.860733015893,0.0,197.6058231403442,32.720781110897704,14.30211651204052,18.418664598857184,300.88274350670895,142.21033643680568,5.7437214660317855,0.0,63707.438903505434,35095.47266666667,12319.426014776782,4040.964540672072,5230.378535044445,1920.6797209758151,7089.047479732336,2120.284819696257,49654.365276756595,21450.802941646234,7653.281720666401,1907.5361322732217,140880.55390041484,S.E.Asia,SEA,ASIA
-0.188282,109.126848,51,51,21132.72838680407,3400.9636466815455,2.7893223024003326,3398.174324379145,0.0,428.7517936750377,0.0020060268587615,0.0,414.36722327066803,66.68556169963814,0.05469259416471241,66.63086910547344,0.0,8.406897915196817,3.9333859975715684e-05,0.0,13189.130046446826,7943.5983403572445,2617.859551959914,783.1040947216319,2.054372313415134,0.7349499889851984,2615.805179646499,782.3691447326466,343.2089509191092,85.54284275592848,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.190644,103.531241,500,686,95985.63945076836,21162.910335489272,12176.058137644544,8986.852197844728,152583.34135447862,67219.72381935528,2958.6086919614795,1.6499000000065136,191.97127890153672,42.325820670978544,24.352116275289088,17.973704395689456,305.16668270895724,134.43944763871056,5.917217383922959,0.003299800000013027,61770.95152898227,34214.687921786084,15823.827047416293,5339.0832880729795,8906.03758641367,3270.020551230875,6917.789461002622,2069.062736842105,46945.875378294986,20273.848441060283,7978.347468378436,1988.5568867360703,142616.43699936412,S.E.Asia,SEA,ASIA
-0.207556,130.839023,500,17661,210065.77763617758,40704.39237755799,0.0,40704.39237755799,0.0,4444.052974505839,0.0,0.0,420.1315552723552,81.40878475511597,0.0,81.40878475511597,0.0,8.88810594901168,0.0,0.0,131514.0064116845,78551.77122449307,31332.93064211261,9371.461735445377,0.0,0.0,31332.93064211261,9371.461735445377,3557.3933023942395,886.6596721115998,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.253929,122.195362,486,486,207451.53125060437,42575.60759410993,0.0,42575.60759410993,0.0,4713.610733442888,0.0,0.0,426.85500257326004,87.60413085207806,0.0,87.60413085207806,0.0,9.698787517372198,0.0,0.0,130566.74424501254,76884.78700559182,32773.33186596219,9802.275728147748,0.0,0.0,32773.33186596219,9802.275728147748,3773.1699755689524,940.4407578739354,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.256965,127.058209,136,136,57713.92513952284,11399.594354178771,0.0,11399.594354178771,0.0,1279.3989959745777,0.0,0.0,424.3670966141385,83.82054672190273,0.0,83.82054672190273,0.0,9.407345558636601,0.0,0.0,36266.840458106504,21447.084681416338,8775.040686877604,2624.5536673011675,0.0,0.0,8775.040686877604,2624.5536673011675,1024.138426224761,255.26056974981688,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.259727,122.062917,263,263,112490.44763251806,23313.981343318643,0.0,23313.981343318643,0.0,2576.11395769525,0.0,0.0,427.7203332034907,88.64631689474768,0.0,88.64631689474768,0.0,9.795110105305133,0.0,0.0,70851.92376244707,41638.52387007099,17946.352168727193,5367.629174591449,0.0,0.0,17946.352168727193,5367.629174591449,2062.138005978299,513.9759517169512,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.272292,122.317545,500,554,213222.30671609542,43265.56204083881,0.0,43265.56204083881,0.0,4712.083395023044,0.0,0.0,426.44461343219086,86.53112408167763,0.0,86.53112408167763,0.0,9.424166790046089,0.0,0.0,134117.42926549996,79104.87745059546,33304.436583729504,9961.125457109307,0.0,0.0,33304.436583729504,9961.125457109307,3771.947365600887,940.136029422157,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.302283,104.442438,500,831,98904.0736368784,15680.53447668067,6311.526162927283,9369.008313753387,150367.61836981899,71774.86550223175,2995.3325974107843,-7.644234753953584e-05,197.8081472737568,31.36106895336134,12.623052325854566,18.738016627506774,300.73523673963797,143.5497310044635,5.990665194821569,-1.5288469507907168e-07,63785.771636878395,35118.301999999996,11828.288694112667,3852.245782568003,4616.327759841057,1695.1984030862259,7211.96093427161,2157.047379481777,50123.08773194428,21651.777770287466,7642.05569430487,1904.7381102366558,140820.82456527746,S.E.Asia,SEA,ASIA
-0.367111,122.101524,500,683,214210.71540548786,44172.749318990274,0.0,44172.749318990274,0.0,4907.259241473079,0.0,0.0,428.4214308109757,88.34549863798055,0.0,88.34549863798055,0.0,9.814518482946157,0.0,0.0,134982.11076394818,79228.60464153967,34002.76014060929,10169.989178380984,0.0,0.0,34002.76014060929,10169.989178380984,3928.182507921099,979.0767335519799,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.376498,104.2048,195,195,83149.36142940892,15250.165157607049,843.806170291037,14406.358987316013,0.0,1806.2470242644008,0.1873555548038551,0.0,426.4069816892765,78.20597516721564,4.327211129697626,73.87876403751801,0.0,9.262805252637953,0.0009607977169428467,0.0,52224.80425050019,30924.557178908733,11717.351013455467,3532.814144151584,627.7997245429663,216.00644574807077,11089.5512889125,3316.8076984035133,1445.8718434386344,360.3751808257663,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.384239,121.961056,500,1875,214740.72281619062,44757.67443107449,0.0,44757.67443107449,0.0,4991.96255117484,0.0,0.0,429.4814456323812,89.51534886214898,0.0,89.51534886214898,0.0,9.98392510234968,0.0,0.0,135429.63877339405,79311.08404279659,34453.01665832774,10304.65777274675,0.0,0.0,34453.01665832774,10304.65777274675,3995.986152106321,995.9763990685194,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.386073,127.197039,500,1412,212110.5808413325,41994.65753873,0.0,41994.65753873,0.0,4723.766110229198,0.0,0.0,424.221161682665,83.98931507746,0.0,83.98931507746,0.0,9.447532220458395,0.0,0.0,133348.05962790916,78762.52121342334,32326.135218904834,9668.522319825172,0.0,0.0,32326.135218904834,9668.522319825172,3781.299192202993,942.4669180262051,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.40942,104.210436,104,104,45114.5043604574,7352.977017064089,0.0,7352.977017064089,0.0,944.2687945076209,0.0,0.0,433.79331115824425,70.7017020871547,0.0,70.7017020871547,0.0,9.079507639496354,0.0,0.0,28264.313501469405,16850.190858988,5660.084954756403,1692.8920623076858,0.0,0.0,5660.084954756403,1692.8920623076858,755.8720619469698,188.39673256065112,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.43299,98.43493,500,10735,215156.70338197105,42572.65712798694,0.0,42572.65712798694,0.0,5021.859157740904,0.0,0.0,430.3134067639421,85.14531425597387,0.0,85.14531425597387,0.0,10.043718315481808,0.0,0.0,135873.45171194384,79283.25167002722,32771.06069214055,9801.596435846393,0.0,0.0,32771.06069214055,9801.596435846393,4019.9179073244854,1001.9412504164185,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.44313,129.883169,417,417,175934.69155946176,35180.75031255159,0.0,35180.75031255159,0.0,3768.943661057722,0.0,0.0,421.90573515458453,84.36630770396064,0.0,84.36630770396064,0.0,9.03823419917919,0.0,0.0,110381.4126165518,65553.27894290995,27081.00883206926,8099.741480482329,0.0,0.0,27081.00883206926,8099.741480482329,3016.979098553351,751.964562504371,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.453922,-90.275466,479,479,158834.24037901717,16543.283252480847,3661.370947542055,12881.91230493879,1.091109629308063,3041.5864600243585,3.7352547770201054,0.0,331.59549139669554,34.53712578806022,7.643780683803873,26.893345104256348,0.0022778906666139106,6.349867348693859,0.007798026674363477,0.0,103030.65508175845,55803.58529725872,12603.667861098034,3939.615391382811,2687.5865437667644,973.7844037752907,9916.08131733127,2965.8309876075205,2429.9215403568596,611.6649196674989,0.08133751528101583,0.0202729044834316,0.9894992095436156,Equatorial.Pacific-Ocean,EPO,PACIFIC
-0.46709,130.589988,500,643,210998.1881860501,41488.07382775991,0.0,41488.07382775991,0.0,4508.2218750392785,0.0,0.0,421.9963763721002,82.97614765551981,0.0,82.97614765551981,0.0,9.016443750078556,0.0,0.0,132333.9310297135,78664.2571563366,31936.18338930815,9551.89043845176,0.0,0.0,31936.18338930815,9551.89043845176,3608.759480585453,899.4623944538256,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.482767,121.803632,500,2161,215676.91410011146,45260.244131985535,0.0,45260.244131985535,0.0,5083.989730609577,0.0,0.0,431.35382820022295,90.52048826397107,0.0,90.52048826397107,0.0,10.167979461219154,0.0,0.0,136145.8113682098,79531.10273190166,34839.87863222506,10420.365499760477,0.0,0.0,34839.87863222506,10420.365499760477,4069.6524368327687,1014.3372937768081,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.491571,104.424408,500,36602,98867.49697677851,16299.85210800044,6756.2869214032,9543.56518659724,150699.15820661554,71461.56581225412,2928.299220235064,0.0,197.73499395355702,32.59970421600088,13.5125738428064,19.08713037319448,301.3983164132311,142.92313162450824,5.856598440470128,0.0,63779.61924674201,35087.877730036496,12287.959794907569,4011.8923130928706,4941.6306003462905,1814.6563210569093,7346.329194561278,2197.2359920359613,49907.86655713449,21553.699255119624,7692.273901026453,1917.2547073404462,141089.62959824863,S.E.Asia,SEA,ASIA
-0.498149,122.574031,425,425,181537.62843069521,37221.05352510506,0.0,37221.05352510506,0.0,4081.5650358671974,0.0,0.0,427.1473610134005,87.57894947083544,0.0,87.57894947083544,0.0,9.603682437334582,0.0,0.0,114314.90573316922,67222.722697526,28651.568550903536,8569.484974201527,0.0,0.0,28651.568550903536,8569.484974201527,3267.2275072272305,814.3375286399669,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.510388,117.533693,500,8529,212845.27791053447,40685.466395594245,0.0,40685.466395594245,0.0,4773.246436543995,0.0,0.0,425.6905558210689,81.3709327911885,0.0,81.3709327911885,0.0,9.546492873087988,0.0,0.0,133954.62748935423,78890.65042118025,31318.36203058039,9367.104365013856,0.0,0.0,31318.36203058039,9367.104365013856,3820.9074017455696,952.3390347984249,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.52847,166.934484,500,6511,209272.77395012553,35575.67895441256,0.0,35575.67895441256,0.0,4406.810694900142,0.0,0.0,418.54554790025105,71.15135790882512,0.0,71.15135790882512,0.0,8.813621389800284,0.0,0.0,130903.3980119132,78369.37593821232,27385.012184563373,8190.666769849186,0.0,0.0,27385.012184563373,8190.666769849186,3527.5814534367164,879.229241463426,0.0,0.0,0.0,Equatorial.Pacific-Ocean,EPO,PACIFIC
-0.592101,127.563639,500,36795,213459.29088547203,44738.1315412225,0.0,44738.1315412225,0.0,4866.030623496761,0.0,0.0,426.91858177094406,89.476263082445,0.0,89.476263082445,0.0,9.732061246993522,0.0,0.0,134505.74103635803,78953.54984911402,34437.9731709665,10300.158370256004,0.0,0.0,34437.9731709665,10300.158370256004,3895.179658878276,970.8509646184849,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.616605,117.424639,500,15473,211219.04779524758,39217.23658900594,0.0,39217.23658900594,0.0,4576.39883944818,0.0,0.0,422.43809559049515,78.43447317801187,0.0,78.43447317801187,0.0,9.152797678896361,0.0,0.0,132590.15608916973,78628.89170607783,30188.16599989654,9029.070589109395,0.0,0.0,30188.16599989654,9029.070589109395,3663.334049780989,913.064789667191,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.617331,98.505332,80,80,34442.604721732285,6807.755885072361,0.0,6807.755885072361,0.0,807.1537656117188,0.0,0.0,430.5325590216536,85.09694856340451,0.0,85.09694856340451,0.0,10.089422070146485,0.0,0.0,21756.379938823004,12686.224782909283,5240.391282514542,1567.3646025578191,0.0,0.0,5240.391282514542,1567.3646025578191,646.1136751207837,161.04009049093509,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.627248,-90.358406,500,18544,167640.61750459505,15964.437960342011,2120.0538783632455,13844.384081978766,0.0,3145.013894699685,1.4778348567359283,5.249999994308041,335.2812350091901,31.92887592068402,4.240107756726491,27.68876816395753,0.0,6.29002778939937,0.0029556697134718564,0.010499999988616083,108628.68351390147,59011.93399069357,12210.767043865168,3753.6709164768436,1553.8059424737562,566.2479358894896,10656.961101391411,3187.422980587354,2517.533303298561,627.4805914011239,0.0,0.0,0.0,Equatorial.Pacific-Ocean,EPO,PACIFIC
-0.635904,127.370747,500,589,212378.1123066917,43127.124021809104,0.0,43127.124021809104,0.0,4735.5840822328955,0.0,0.0,424.75622461338344,86.2542480436182,0.0,86.2542480436182,0.0,9.47116816446579,0.0,0.0,133596.16731156406,78781.94499512763,33197.87145414214,9929.252567666961,0.0,0.0,33197.87145414214,9929.252567666961,3790.7592897074583,944.8247925254368,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
