island_id,lat,lon,Country,_match_country_name,_match_country_code,_match_score,scenario,population_raw,population_calc,income_per_capita_2020,consumption_pc_kwh,billed_kwh,LCOE,tariff_affordable,feasibility_gap
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_2020,305,305,12960,2629.59,802024.95,0.363794498,0.492852498,-0.129057999
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_2050,305,305,12960,2629.59,799833.525,0.364863126,0.492852498,-0.127989372
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_future_2030,305,305,12960,2629.59,799833.525,0.361237961,0.492852498,-0.131614536
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_future_2040,305,305,12960,2629.59,799833.525,0.362292488,0.492852498,-0.13056001
4827,-50.232707,-75.15757,Chile,Chile,CHL,100,output_future_2050,305,305,12960,2629.59,799833.525,0.353377247,0.492852498,-0.139475251
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_0,80,80,12960,2629.59,210367.2,0.270011486,0.492852498,-0.222841012
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_2020,80,80,12960,2629.59,210367.2,0.708894838,0.492852498,0.21604234
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_2050,80,80,12960,2629.59,209792.4,0.684130319,0.492852498,0.191277821
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_future_2030,80,80,12960,2629.59,209792.4,0.334917375,0.492852498,-0.157935123
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_future_2040,80,80,12960,2629.59,209792.4,0.651381753,0.492852498,0.158529255
4997,-49.727178,-75.395651,Chile,Chile,CHL,100,output_future_2050,80,80,12960,2629.59,209792.4,0.327026383,0.492852498,-0.165826115
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_0,88,88,12960,2629.59,231403.92,0.779148139,0.492852498,0.286295641
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_2020,88,88,12960,2629.59,231403.92,0.779148139,0.492852498,0.286295641
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_2050,88,88,12960,2629.59,230771.64,0.781282889,0.492852498,0.288430391
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_future_2030,88,88,12960,2629.59,230771.64,0.779613117,0.492852498,0.286760619
