,lon,lat,AC,CES,CHP,EB,ESS,FC,H2S,LNG,LNGV,PEM,PV,TES,WEC,WT
0,103.626017,-0.030217,155.42014732518692,772.3170602157128,0.0,0.0,11.633787847931956,26.864989397240716,601.9837618883452,0.0,0.0,11.583596862793136,85.97815867515617,0.0,100.0,7.117999999999999
1,103.659208,-0.035119,34.35259580364352,150.45325732772463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.220369236560056,0.0,30.94525792481254,1.5177337089593008
2,130.124424,-0.045282,130.61985093489872,687.451257264674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.912246598138935,0.0,111.17999999964006,3.6055950187006096
3,98.276855,-0.061393,330.6430711734282,1610.936085788085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.5026144024842,0.0,255.0,3.764
4,98.326246,-0.074667,330.18241781005275,1614.0279089508308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.57043979969627,0.0,255.0,3.589
5,129.466226,-0.100428,304.46438941991084,1583.8493925487746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.14014891214998,0.0,255.0,6.348682055798277
6,103.536773,-0.100626,137.1918748244053,341.76451772277096,214.77874516717512,0.0,0.041986104313299,28.444447302066163,189.65809692081027,140.11084041510878,572.7433204458004,10.53919538761175,51.99566806620348,0.0,100.0,72.954
7,127.241703,-0.107722,104.07038250365686,537.1332100300452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.89676166183782,0.0,85.16999999963987,1.161009394646469
8,109.15734,-0.128063,72.58161261814429,332.54029606916777,0.0,0.0,0.0,0.0273688970465109,0.4562851605305161,0.0,0.0,0.000954581718616,14.66184328241443,0.0,66.7917540682764,0.1881186391797593
9,98.450703,-0.158715,332.538321307459,1621.8154626037986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.41833821837724,0.0,255.0,3.2303333333333337
10,121.614101,-0.169313,329.0514366798756,1724.778300068708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.32339496173338,0.0,255.0,8.046538385503897
11,104.655528,-0.171555,142.55171850986488,353.3808032827095,226.86850128902847,0.0,0.0019995001650595,16.974173962861055,113.178136189876,136.2525808766587,604.982670104076,6.271276045972122,45.82933333333333,0.0,100.0,93.986
12,109.126848,-0.188282,28.514280918642825,130.3948574554411,0.0,0.0,0.0,0.0066155722522151,0.1102926231178915,0.0,0.0,0.0001755448425456,5.910235957232199,0.0,26.00558961813926,0.1392099511424468
13,103.531241,-0.190644,137.7957332433648,344.8437894736842,214.3215241870164,0.0,0.0739767073029064,28.866810757095813,192.47427570745177,142.039777624005,571.5240644987105,10.695688882805134,52.75476471533717,0.0,100.0,69.79833333333333
14,130.839023,-0.207556,295.5532240371999,1561.910289240896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.25532354792969,0.0,255.0,11.74183216024863
15,122.195362,-0.253929,313.4802526246451,1633.712621357958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01295828657524,0.0,247.85999999964008,9.546255002524852
16,127.058209,-0.256965,85.0868565832723,437.4256112168612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.901778859584866,0.0,69.35999999964075,2.077762040782858
17,122.062917,-0.259727,171.3253172389837,894.6048624319081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.99855076875991,0.0,134.12999999964072,4.733888430169608
18,122.317545,-0.272292,313.3786764740523,1660.1875761848844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.24430944617956,0.0,255.0,12.308333333333332
19,104.442438,-0.302283,144.5620079624438,359.5078965802962,228.9722130906489,0.0,0.0019995001650151,14.9756477513216,99.8526293202313,136.05272215976112,610.5925682417305,5.548755299448629,46.20433333333333,0.0,100.0,94.31633333333332
20,122.101524,-0.367111,326.3589111839933,1694.9981963968305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.94969598279089,0.0,255.0,9.459572882220352
21,104.2048,-0.376498,120.12506027525544,552.8012830672523,0.0,0.0,0.0,1.5576143954035508,62.345092696566006,0.0,0.0,0.0245619250212682,33.05702227139426,0.0,100.0,3.8196666666666665
22,121.961056,-0.384239,331.9921330228398,1717.4429621244583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.54641470056023,0.0,255.0,8.918988481016358
23,127.197039,-0.386073,314.15563934206835,1611.4203866375285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.60775468193349,0.0,255.0,3.082391993927175
24,104.210436,-0.40942,62.79891085355037,282.14867705128097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.49022195170276,0.0,54.70289473588501,1.9313333333333336
25,98.43493,-0.43299,333.9804168054728,1633.599405974399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.7163334794443,0.0,255.0,2.8320000000000003
26,129.883169,-0.44313,250.65485416812365,1349.9569134137216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.75554824714698,0.0,212.66999999964077,4.509333333333333
27,-90.275466,-0.453922,199.2387159125576,494.3051646012534,0.1505263157894893,0.0,0.0,8.845251795141166,102.80447711077636,0.0014480646059594,0.4014035087719717,1.3255212116988806,178.80213920319736,0.0,171.23783213657254,7.436894293335349
28,130.589988,-0.46709,299.8207981512752,1591.9817397419597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.65417349221036,0.0,255.0,8.795608511994176
