lat,lon,population,original_population,renewable_cost,storage_cost,electrical_storage_cost,thermal_storage_cost,lng_cost,other_equipment_cost,discard_cost,load_shedding_cost,renewable_cost_per_capita,storage_cost_per_capita,electrical_storage_cost_per_capita,thermal_storage_cost_per_capita,lng_cost_per_capita,other_equipment_cost_per_capita,discard_cost_per_capita,load_shedding_cost_per_capita,renewable_investment,renewable_om,storage_investment,storage_om,electrical_storage_investment,electrical_storage_om,thermal_storage_investment,thermal_storage_om,other_investment,other_om,lng_investment,lng_om,lng_purchase,IPCC_Region_Name,IPCC_Region_Code,Continent
-0.030217,103.626017,235,235,90724.26238379687,31246.347850899743,11119.265728801023,20127.08212209872,0.0,2336.9576504219267,131.11715999775734,0.3499650001036802,386.0606909948803,132.96318234425422,47.316024377876694,85.64715796637753,0.0,9.944500640093304,0.5579453616925845,0.0014892127663986392,58440.690734294694,32283.571649502173,22601.73967137621,8644.60817952353,7108.559910571773,4010.70581822925,15493.179760804438,4633.90236129428,1870.6972084450379,466.26044197688884,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.035119,103.659208,59,59,25381.008884281462,3920.909198789882,0.0,3920.909198789882,0.0,516.5389620119888,0.0,0.0,430.18659125900786,66.45608811508275,0.0,66.45608811508275,0.0,8.754897661220149,0.0,0.0,15866.100464936195,9514.908419345267,3018.1896548206173,902.7195439692648,0.0,0.0,3018.1896548206173,902.7195439692648,413.4811746008603,103.05778741112849,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.045282,130.124424,218,218,91967.08514299082,17915.424406225196,0.0,17915.424406225196,0.0,1964.0507694312446,0.0,0.0,421.8673630412423,82.18084590011559,0.0,82.18084590011559,0.0,9.009407199225892,0.0,0.0,57678.06288553522,34289.0222574556,13790.71686262923,4124.707543595967,0.0,0.0,13790.71686262923,4124.707543595967,1572.1912166256022,391.85955280564224,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.061393,98.276855,500,3977,214604.88118478487,41982.03634575968,0.0,41982.03634575968,0.0,4971.6775337024255,0.0,0.0,429.2097623695697,83.96407269151936,0.0,83.96407269151936,0.0,9.943355067404852,0.0,0.0,135401.4690535034,79203.41213128148,32316.419830936582,9665.616514823098,0.0,0.0,32316.419830936582,9665.616514823098,3979.7483201746836,991.9292135277419,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.074667,98.326246,500,556,214720.35741950595,42062.61125678685,0.0,42062.61125678685,0.0,4964.750970932009,0.0,0.0,429.4407148390119,84.12522251357369,0.0,84.12522251357369,0.0,9.929501941864018,0.0,0.0,135499.91030409944,79220.4471154065,32378.443803074308,9684.167453712542,0.0,0.0,32378.443803074308,9684.167453712542,3974.203717500177,990.5472534318319,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.100428,129.466226,500,2067,210818.0232026797,41276.13959959748,0.0,41276.13959959748,0.0,4578.044715423704,0.0,0.0,421.6360464053594,82.55227919919497,0.0,82.55227919919497,0.0,9.156089430847407,0.0,0.0,132224.80644930285,78593.21675337684,31773.04324437961,9503.096355217871,0.0,0.0,31773.04324437961,9503.096355217871,3664.651547165806,913.3931682578977,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.100626,103.536773,500,6890,96431.30217752891,17381.609321212083,8607.363080373076,8774.246240839006,151755.77250331,66963.8518200485,2952.3494497415654,0.949925000004426,192.8626043550578,34.763218642424164,17.214726160746153,17.54849248167801,303.51154500662,133.927703640097,5.90469889948313,0.001899850000008852,62079.87001200623,34351.43216552268,12008.384038125747,5373.2252830863345,5254.251797286741,3353.1112830863344,6754.132240839005,2020.1139999999998,46765.7148637332,20198.13695631529,7852.824659405768,1957.2710537719931,141945.67679013225,S.E.Asia,SEA,ASIA
-0.107722,127.241703,167,167,70727.21194102732,13998.03886982609,0.0,13998.03886982609,0.0,1564.8426588115624,0.0,0.0,423.51623916782825,83.82059203488677,0.0,83.82059203488677,0.0,9.370315322224924,0.0,0.0,44438.66301894367,26288.54892208365,10775.239609661276,3222.7992601648157,0.0,0.0,10775.239609661276,3222.7992601648157,1252.6315113010207,312.21114751054165,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.128063,109.15734,131,131,54181.153845482564,8674.668432299906,8.452633651646599,8666.21579864826,0.0,1091.3654022539943,0.0092949222273759,0.0020513682758784,413.5965942403249,66.21884299465577,0.06452392100493587,66.15431907365084,0.0,8.331033604992323,7.095360478912901e-05,1.565929981586565e-05,33798.3164409446,20382.83740453796,6676.3764225659,1998.292009734007,5.402537734331101,3.0500959173154976,6670.973884831568,1995.2419138166915,873.6205429402793,217.744859313715,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.158715,98.450703,500,3518,215045.04999014322,42265.559941954925,0.0,42265.559941954925,1.3673111184531254e-10,5000.17525028488,1.0154032015208284e-10,2.54960377803258e-08,430.0900999802864,84.53111988390985,0.0,84.53111988390985,2.734622236906251e-13,10.00035050056976,2.0308064030416567e-13,5.0992075560651606e-11,135774.52387789515,79270.52611224807,32534.667166324543,9730.892775630386,0.0,0.0,32534.667166324543,9730.892775630386,4002.560286324684,997.6149639601963,0.0,0.0,1.3673111184531254e-10,S.E.Asia,SEA,ASIA
-0.169313,121.614101,500,1679,214308.99691765325,44948.83808230191,0.0,44948.83808230191,0.0,4947.7450997630085,0.0,0.0,428.6179938353065,89.89767616460382,0.0,89.89767616460382,0.0,9.895490199526018,0.0,0.0,135086.55768296093,79222.4392346923,34600.16828190791,10348.669800394006,0.0,0.0,34600.16828190791,10348.669800394006,3960.590789718931,987.1543100440779,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.171555,104.655528,500,35941,98581.91258383408,14120.873322505835,4923.346822233636,9197.526500272199,150587.29691395012,71111.9392424391,2883.040917003455,0.0,197.16382516766816,28.24174664501167,9.846693644467273,18.395053000544397,301.17459382790025,142.22387848487818,5.7660818340069095,0.0,63546.557250500744,35035.35533333333,10085.434079314897,4035.439243190937,3005.4743236471018,1917.8724985865338,7079.959755667795,2117.566744604403,49658.94948464526,21452.989757793835,7675.422402518453,1913.0545689605724,140998.8199424711,S.E.Asia,SEA,ASIA
-0.188282,109.126848,51,51,21132.7284110279,3400.211670773794,2.0373557193128993,3398.174315054481,0.0,428.7517961472146,0.0020062289472667,0.0010455425213592,414.3672237456451,66.67081707399596,0.03994815135907646,66.63086892263689,0.0,8.406897963670874,3.933782249542549e-05,2.0500833752141177e-05,13189.130065637672,7943.59834539023,2617.107578203045,783.1040925707495,1.302405734372157,0.7349499849407423,2615.8051724686725,782.3691425858087,343.20895289804724,85.5428432491673,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.190644,103.531241,500,686,96001.2224511443,17441.8658521376,8521.369790221383,8920.496061916214,152496.06964116544,67074.27814628441,2963.6226910657024,1.6499000000075807,192.0024449022886,34.8837317042752,17.042739580442767,17.84099212383243,304.99213928233087,134.14855629256883,5.927245382131405,0.0032998000000151614,61781.33229442882,34219.890156715475,12068.40953460228,5373.456317535316,5201.698890486089,3319.6708997352935,6866.710644116191,2053.785417800022,46844.10806153511,20230.170084749305,7965.105935318006,1985.2565113309347,142545.7071945165,S.E.Asia,SEA,ASIA
-0.207556,130.839023,500,17661,210065.77763613017,40704.39237759728,0.0,40704.39237759728,0.0,4444.052974502765,0.0,0.0,420.13155527226036,81.40878475519456,0.0,81.40878475519456,0.0,8.88810594900553,0.0,0.0,131514.00641164294,78551.77122448724,31332.93064214286,9371.461735454424,0.0,0.0,31332.93064214286,9371.461735454424,3557.393302391779,886.6596721109863,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.253929,122.195362,486,486,207451.53125054907,42575.607594280045,0.0,42575.607594280045,0.0,4713.610733448265,0.0,0.0,426.85500257314624,87.60413085242807,0.0,87.60413085242807,0.0,9.698787517383261,0.0,0.0,130566.74424496689,76884.7870055822,32773.33186609313,9802.27572818691,0.0,0.0,32773.33186609313,9802.27572818691,3773.1699755732566,940.4407578750081,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.256965,127.058209,136,136,57713.92513966876,11399.594354065455,0.0,11399.594354065455,0.0,1279.3989959667854,0.0,0.0,424.3670966152115,83.82054672106952,0.0,83.82054672106952,0.0,9.407345558579305,0.0,0.0,36266.84045816935,21447.084681499415,8775.040686790377,2624.553667275078,0.0,0.0,8775.040686790377,2624.553667275078,1024.1384262185231,255.26056974826216,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
-0.259727,122.062917,263,263,112490.44763268049,23313.9813432301,0.0,23313.9813432301,0.0,2576.1139576877363,0.0,0.0,427.72033320410833,88.64631689441103,0.0,88.64631689441103,0.0,9.795110105276564,0.0,0.0,70851.92376252222,41638.52387015827,17946.35216865904,5367.629174571064,0.0,0.0,17946.35216865904,5367.629174571064,2062.138005972284,513.975951715452,0.0,0.0,0.0,S.E.Asia,SEA,ASIA
